sentiment,text,positive,negative
neg,"the movie is dawn of the dead crossed with john carpenter's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second .",6,3
neg,a puzzling experience .,1,1
pos,"it's a hoot and a half , and a great way for the american people to see what a candidate is like when he's not giving the same 15-cent stump speech .",3,4
pos,"insomnia is involving . still , i thought it could have been more .",3,1
neg,somehow both wildly implausible and strangely conventional .,2,1
pos,"the film delivers what it promises : a look at the "" wild ride "" that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans .",10,5
neg,about one in three gags in white's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook .,5,4
pos,"viewers of "" the ring "" are more likely to remember the haunting images than the plot holes .",1,3
pos,"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .",5,3
neg,"as it stands , there's some fine sex onscreen , and some tense arguing , but not a whole lot more .",2,2
neg,the film's tone and pacing are off almost from the get-go .,1,1
pos,a rare and lightly entertaining look behind the curtain that separates comics from the people laughing in the crowd .,7,1
neg,"try as i may , i can't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , 'thank you ! ' when leguizamo finally plugged an irritating character late in the movie .",6,5
pos,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences .",5,1
pos,the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins .,2,3
pos,"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well .",4,3
pos,"it's a wonderful , sobering , heart-felt drama .",3,0
pos,"thanks to haynes' absolute control of the film's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act .",9,3
neg,conforms itself with creating a game of 'who's who' . . . where the characters' moves are often more predictable than their consequences .,5,1
neg,"the characters are based on stock clichés , and the attempt to complicate the story only defies credibility .",2,2
neg,earnest but heavy-handed .,1,0
pos,"with elements cribbed from lang's metropolis , welles' kane , and eisenstein's potemkin , the true wonder of rintarô's metropolis is the number of lasting images all its own .",5,3
pos,"may not have generated many sparks , but with his affection for astoria and its people he has given his tale a warm glow .",7,0
neg,"a stupid , derivative horror film that substitutes extreme gore for suspense .",1,6
pos,"a gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",4,2
pos,"the draw [for "" big bad love "" ] is a solid performance by arliss howard .",4,2
pos,"all of it works smoothly under the direction of spielberg , who does a convincing impersonation here of a director enjoying himself immensely .",7,0
neg,"yes , one enjoys seeing joan grow from awkward young woman to strong , determined monarch , but her love for the philandering philip only diminishes her stature .",10,3
neg,"eastwood winces , clutches his chest and gasps for breath . it's a spectacular performance - ahem , we hope it's only acting .",8,3
pos,the wild thornberrys movie is a jolly surprise .,2,0
pos,an elegant and sly deadpan comedy .,2,2
neg,"a puzzle whose pieces do not fit . some are fascinating and others are not , and in the end , it is almost a good movie .",3,1
neg,"eccentric enough to stave off doldrums , caruso's self-conscious debut is also eminently forgettable .",2,3
neg,"britney spears' phoniness is nothing compared to the movie's contrived , lame screenplay and listless direction .",1,5
neg,"it's clear the filmmakers weren't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination .",6,2
pos,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",5,0
pos,"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",6,3
neg,"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .",8,10
neg,"the director mostly plays it straight , turning leys' fable into a listless climb down the social ladder .",5,3
neg,a momentary escape from the summer heat and the sedentary doldrums that set in at this time of year .,2,3
pos,"for anyone who remembers the '60s or is interested in one man's response to stroke , ram dass : fierce grace is worth seeking out .",6,1
neg,"was i scared ? only at the prospect of beck's next project . let's see , a haunted house , a haunted ship , what's next . . . ghost blimp ?",3,4
neg,"despite all the talking , by the time the bloody climax arrives we still don't feel enough of an attachment to these guys to care one way or another .",5,3
pos,beautifully produced .,0,0
pos,"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !",3,6
neg,"worth seeing once , but its charm quickly fades .",3,1
neg,the movie is undone by a filmmaking methodology that's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads .,4,3
neg,the pivotal narrative point is so ripe the film can't help but go soft and stinky .,5,2
pos,attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage .,7,1
neg,"frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for .",4,1
neg,just because a walk to remember is shrewd enough to activate girlish tear ducts doesn't mean it's good enough for our girls .,4,4
pos,enormously entertaining for moviegoers of any age .,2,0
pos,"functions as both a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing .",8,2
pos,a keep-'em-guessing plot and an affectionate take on its screwed-up characters .,2,1
pos,"a smart , sassy and exceptionally charming romantic comedy .",5,1
neg,"it's mighty tedious for the viewer who has to contend with unpleasant characters , hit-and-miss performances and awkwardly staged scenes .",4,5
neg,"instead of making his own style , director marcus adams just copies from various sources  good sources , bad mixtur",5,5
neg,it's one pussy-ass world when even killer-thrillers revolve around group therapy sessions .,3,1
pos, . . . there is enough originality in 'life' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,2,2
pos,"in all fairness , i must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks .",3,5
pos,"a gripping movie , played with performances that are all understated and touching .",4,2
pos,refreshing .,1,0
pos,poignant and delicately complex .,1,2
pos,serious and thoughtful .,1,0
pos,"unfortunately , it appears that [jackie] chan's us influence is starting to show in his hong kong films .",2,3
neg,"in this film , aussie david caesar channels the not-quite-dead career of guy ritchie .",4,0
neg,"if religious films aren't your bailiwick , stay away . otherwise , this could be a passable date film .",2,1
neg,"if you adored the full monty so resoundingly that you're dying to see the same old thing in a tired old setting , then this should keep you reasonably entertained .",6,6
neg," . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .",5,3
neg,"not always too whimsical for its own good ( but enough to do harm ) , this strange hybrid of crime thriller , quirky character study , third-rate romance and female empowerment fantasy never really finds the tonal or thematic glue it needs .",13,5
pos,"enjoyably dumb , sweet , and intermittently hilarious -- if you've a taste for the quirky , steal a glimpse .",5,3
neg,the latest adam sandler assault and possibly the worst film of the year .,2,4
neg,"flashy , pretentious and as impenetrable as morvern's thick , working-class scottish accent .",2,2
pos,"the heat of the moment prevails . it cooks conduct in a low , smoky and inviting sizzle .",7,1
neg,"deliberately and devotedly constructed , far from heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",9,1
neg,"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .",3,4
neg,"even on its own ludicrous terms , the sum of all fears generates little narrative momentum , and invites unflattering comparisons to other installments in the ryan series .",5,4
neg,"comes off more like a misdemeanor , a flat , unconvincing drama that never catches fire .",3,2
neg,very stupid and annoying .,0,2
pos,offers enough playful fun to entertain the preschool set while embracing a wholesome attitude .,5,0
pos,"amy and matthew have a bit of a phony relationship , but the film works in spite of it .",1,2
neg,what was subtle and mystifying in the novella is now broad and farcical .,3,3
pos,"fans of critics' darling band wilco will marvel at the sometimes murky , always brooding look of i am trying to break your heart .",7,4
pos,"a splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience .",10,1
neg,"the movie wavers between hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial .",5,2
pos,'stock up on silver bullets for director neil marshall's intense freight train of a film . ,3,2
pos,maintains your interest until the end and even leaves you with a few lingering animated thoughts .,3,3
pos,"one of the finest , most humane and important holocaust movies ever made .",2,1
pos,the film offers an intriguing what-if premise .,1,1
neg,"from beginning to end , this overheated melodrama plays like a student film .",2,3
neg,"mr . wedge and mr . saldanha handle the mix of verbal jokes and slapstick well . their film falters , however , in its adherence to the disney philosophy of required poignancy , a salute that i'd hoped the movie would avoid .",6,5
pos,"with an unflappable air of decadent urbanity , everett remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill .",8,2
pos,"using a stock plot , about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .",3,2
neg,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately don't enable them to discern flimsy screenplays .",11,3
neg,the timing in nearly every scene seems a half beat off .,2,0
pos,"suffice to say that after seeing this movie in imax form , you'll be more acquainted with the tiniest details of tom hanks' face than his wife is .",4,0
pos,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times .,2,2
neg,feels like a cold old man going through the motions .,0,5
neg, . . . the sum of the parts equals largely a confused mediocrity .,3,1
pos,"irwin is so earnest that it's hard to resist his pleas to spare wildlife and respect their environs . there are far worse messages to teach a young audience , which will probably be perfectly happy with the sloppy slapstick comedy .",13,7
neg,lawrence should stick to his day job . he's a better actor than a standup comedian .,5,1
neg,"peralta's mythmaking could have used some informed , adult hindsight .",2,1
pos,"this is a nicely handled affair , a film about human darkness but etched with a light ( yet unsentimental ) touch .",6,3
pos,the movie exists for its soccer action and its fine acting .,3,0
neg,to say this was done better in wilder's some like it hot is like saying the sun rises in the east .,4,0
neg,"trying to figure out the rules of the country bear universe -- when are bears bears and when are they like humans , only hairier -- would tax einstein's brain .",4,2
neg,"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",9,4
pos,we do get the distinct impression that this franchise is drawing to a close .,5,0
neg,the worst film of the year .,0,1
neg,"filmmakers have to dig deep to sink this low . fortunately for all involved , this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water .",5,6
pos,"[while the last metro] was more melodramatic , confined to a single theater company and its strategies and deceptions , while tavernier is more concerned with the entire period of history .",5,3
pos,"almost every scene in this film is a gem that could stand alone , a perfectly realized observation of mood , behavior and intent .",6,3
pos,"the film's real appeal won't be to clooney fans or adventure buffs , but to moviegoers who enjoy thinking about compelling questions with no easy answers .",8,2
neg,"it wants to be thought of as a subversive little indie film , but it has all the qualities of a modern situation comedy .",5,3
neg,is it a comedy ? a drama ? a romance ? a cartoon ?,8,0
pos,maelstrom is a deliberately unsteady mixture of stylistic elements .,3,2
pos,"an undeniably moving film to experience , and ultimately that's what makes it worth a recommendation .",5,1
pos, . . . a magnificent drama well worth tracking down .,3,2
pos,"affirms the gifts of all involved , starting with spielberg and going right through the ranks of the players -- on-camera and off -- that he brings together .",6,4
pos,"pure cinematic intoxication , a wildly inventive mixture of comedy and melodrama , tastelessness and swooning elegance .",8,1
pos,"the acting , costumes , music , cinematography and sound are all astounding given the production's austere locales .",2,1
neg,"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star .",10,6
neg,a plodding teen remake that's so mechanical you can smell the grease on the plot twists .,1,5
neg,the movie slides downhill as soon as macho action conventions assert themselves .,2,2
neg,"it's an earnest debut full of heartfelt performances , but is ultimately let down by a story that is all too predictable .",6,1
pos,zhang . . . has done an amazing job of getting realistic performances from his mainly nonprofessional cast .,4,2
pos,"a highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings . . it's a worthwhile tutorial in quantum physics and slash-das",7,2
pos,"although it's a bit smug and repetitive , this documentary engages your brain in a way few current films do .",3,2
neg,the basic premise is intriguing but quickly becomes distasteful and downright creepy .,1,3
pos, . . . an agreeable time-wasting device -- but george pal's low-tech 1960 version still rules the epochs .,5,0
neg,"swinging , the film makes it seem , is not a hobby that attracts the young and fit . or intelligent .",5,0
neg,only those most addicted to film violence in all its forms will find anything here to appreciate .,3,2
pos,parker cannot sustain the buoyant energy level of the film's city beginnings into its country conclusio,4,3
neg,"a journey that's too random and inconclusive to be compelling , but which hoffman's brilliance almost makes worth taking .",4,1
neg,"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count .",2,0
neg,"when it comes to entertainment , children deserve better than pokemon 4ever .",3,0
pos,"while this gentle and affecting melodrama will have luvvies in raptures , it's far too slight and introspective to appeal to anything wider than a niche audience .",8,2
pos,illuminating if overly talky documentary .,0,2
neg,"like most sequels , it takes what worked last time , repeats it and adds more characters , more stunts , more stuff in attempt to camouflage its sameness .",5,3
pos,"the movie addresses a hungry need for pg-rated , nonthreatening family movies , but it doesn't go too much further .",2,3
neg,"waydowntown may not be an important movie , or even a good one , but it provides a nice change of mindless pace in collision with the hot oscar season currently underway .",8,2
pos,"perfectly pitched between comedy and tragedy , hope and despair , about schmidt instead comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness .",5,8
pos,"few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as nesbitt's cooper looks when the bullets stop flying .",4,9
neg,"there is no insight into the anguish of heidi's life -- only a depiction of pain , today's version of greek tragedy , the talk-show guest decrying her fate .",4,5
pos,a strangely compelling and brilliantly acted psychological drama .,4,1
neg,"at a time when we've learned the hard way just how complex international terrorism is , collateral damage paints an absurdly simplistic picture .",2,7
pos,"it's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior -- yet i found it weirdly appealing .",2,7
pos,an engaging overview of johnson's eccentric career .,3,1
neg,an imponderably stilted and self-consciously arty movie .,1,1
neg,the film is like a series of beginnings and middles that never take off .,0,2
pos,"if you're burnt out on it's a wonderful life marathons and bored with a christmas carol , it might just be the movie you're looking for . it depends on how well flatulence gags fit into your holiday concept .",10,3
pos,the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,5,4
pos,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,1,2
pos,those with a modicum of patience will find in these characters' foibles a timeless and unique perspective .,7,1
neg,the plot's contrivances are uncomfortably strained .,1,2
neg, . . . a mostly boring affair with a confusing sudden finale that's likely to irk viewers .,2,4
neg,"contrived , awkward and filled with unintended laughs , the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster .",7,4
pos,the movie stays afloat thanks to its hallucinatory production design .,2,2
neg,"it's not the worst comedy of the year , but it certainly won't win any honors .",4,1
neg,a cleverly crafted but ultimately hollow mockumentary .,1,1
neg,more maudlin than sharp .,1,1
neg,"like so many other allegedly scary movies , it gets so tangled up in the twist that it chokes the energy right out of the very audience it seeks to frighten .",2,5
pos,"this breezy caper movie becomes a soulful , incisive meditation on the way we were , and the way we are .",5,0
pos,"while insomnia is in many ways a conventional , even predictable remake , nolan's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth .",7,2
pos,visually captivating .,2,0
pos, . . . a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs . it is an unstinting look at a collaboration between damaged people that may or may not qua,8,3
neg,"ultimately , in the history of the academy , people may be wondering what all that jazz was about "" chicago "" in 2002 . zellweger's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an ",7,5
neg, . . . tackling a low-budget movie in which inexperienced children play the two main characters might not be the best way to cut your teeth in the film industry .,5,2
neg,"you come away wishing , though , that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story .",4,3
neg,"beers , who , when she's given the right lines , can charm the paint off the wall . . . [but] the script goes wrong at several key junctures .",4,4
neg,"none of this violates the letter of behan's book , but missing is its spirit , its ribald , full-throated humor .",2,5
neg,there are just too many characters saying too many clever things and getting into too many pointless situations . where's the movie here ?,3,2
pos,a woman's pic directed with resonance by ilya chaiken .,4,0
neg,there is no pleasure in watching a child suffer . just embarrassment and a vague sense of shame .,1,4
pos,"a sensitive , modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern china .",11,2
pos,"likeable thanks to its cast , its cuisine and its quirky tunes .",3,1
pos,"victor rosa is leguizamo's best movie work so far , a subtle and richly internalized performance .",8,0
pos,overall very good for what it's trying to do .,1,2
pos,"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists .",9,1
neg,one long string of cliches .,2,1
pos,"vibrantly colored and beautifully designed , metropolis is a feast for the eyes .",4,0
pos,"you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet .",4,4
neg,they takes a long time to get to its gasp-inducing ending .,1,1
neg,"this is a great subject for a movie , but hollywood has squandered the opportunity , using it as a prop for warmed-over melodrama and the kind of choreographed mayhem that director john woo has built his career on .",7,3
pos,"a jewish ww ii doc that isn't trying simply to out-shock , out-outrage or out-depress its potential audience ! who knew . . .",2,0
neg, . . . has virtually no script at all . . .,2,0
neg,"jaw-droppingly superficial , straining to get by on humor that is not even as daring as john ritter's glory days on three's company .",3,2
pos,"the film has an infectious enthusiasm and we're touched by the film's conviction that all life centered on that place , that time and that sport .",4,2
neg,"an odd , haphazard , and inconsequential romantic comedy .",3,2
neg,looks and feels like a project better suited for the small screen .,3,2
neg,"rather quickly , the film falls into a soothing formula of brotherly conflict and reconciliation .",3,3
neg,it's impossible to even categorize this as a smutty guilty pleasure .,2,3
neg,"quite frankly , i can't see why any actor of talent would ever work in a mcculloch production again if they looked at how this movie turned out .",5,1
neg,director clare kilner's debut is never as daft as it should have been .,1,3
neg,eisenstein lacks considerable brio for a film about one of cinema's directorial giants .,5,0
neg,what kids will discover is a new collectible . what parents will suspect is that they're watching a 76-minute commercial .,5,4
neg,an unclassifiably awful study in self- and audience-abuse .,1,2
neg,"the redeeming feature of chan's films has always been the action , but the stunts in the tuxedo seem tired and , what's worse , routine .",4,3
pos,"yakusho , as always , is wonderful as the long-faced sad sack . . . and his chemistry with shimizu is very believable .",4,2
neg,"meyjes's movie , like max rothman's future , does not work .",2,0
pos,"this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap .",4,2
neg,[at least] moore is a real charmer .,2,0
pos,"kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor .",8,1
neg,"there are deeply religious and spiritual people in this world who would argue that entering a church , synagogue or temple doesn't mean you have to check your brain at the door . the same should go for movie theaters .",6,4
pos,"though it runs 163 minutes , safe conduct is anything but languorous . it's packed to bursting with incident , and with scores of characters , some fictional , some from history .",8,3
pos,"the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .",8,1
neg,no way i can believe this load of junk .,1,1
pos,"a disoriented but occasionally disarming saga packed with moments out of an alice in wonderland adventure , a stalker thriller , and a condensed season of tv's big brother .",11,2
neg,"too ordinary to restore [harmon] to prominence , despite some creepy scenes that evoke childish night terrors , and a praiseworthy attempt to generate suspense rather than gross out the audience .",6,7
neg,"unofficially , national lampoon's van wilder is son of animal house . officially , it is twice as bestial but half as funny .",3,1
pos,good ol' urban legend stuff .,2,2
pos,a marvel like none you've seen .,1,1
pos,hashiguchi uses the situation to evoke a japan bustling atop an undercurrent of loneliness and isolation .,2,5
neg,"for all the charm of kevin kline and a story that puts old-fashioned values under the microscope , there's something creepy about this movie .",2,0
pos,"the unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right .",4,1
neg,"hey arnold ! the movie could have been made 40 years ago , and parents' appreciation of it may depend on whether they consider that a good thing .",4,1
neg,a listless and desultory affair .,0,3
neg,possibly the most irresponsible picture ever released by a major film studio .,3,1
neg,"there's no palpable chemistry between lopez and male lead ralph fiennes , plus the script by working girl scribe kevin wade is workmanlike in the extreme .",9,2
pos,"oscar wilde's masterpiece , the importance of being earnest , may be the best play of the 19th century . it's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker's movie adaptation .",11,1
pos,"the movie occasionally threatens to become didactic , but it's too grounded in the reality of its characters to go over the edge . a touch of humor or an unexpected plot twist always pulls it back .",4,7
neg,the film's center will not hold .,1,1
pos,"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer .",9,1
neg,"there's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging .",3,6
pos,a psychological thriller with a smart script and an obsessive-compulsive's attention to detail .,6,0
pos,turns potentially forgettable formula into something strangely diverting .,1,2
neg,"a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and despairing milieu .",6,6
neg,the marquis de sade couldn't have been as dull a person as this film makes him out to be .,0,1
neg,the impact of the armenian genocide is diluted by too much stage business in the modern day .,3,3
pos,"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience .",5,3
neg,painfully padded .,0,2
pos,"it's bright , pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime .",7,1
neg,"while glover , the irrepressible eccentric of river's edge , dead man and back to the future , is perfect casting for the role , he represents bartleby's main overall flaw .",4,5
pos,"reinforces the often forgotten fact of the world's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes .",10,2
pos,"a meatier deeper beginning and/or ending would have easily tipped this film into the "" a "" range , as is , it's a very very strong "" b+ . "" i love the robust middle of this picture .",7,3
neg,"despite some charm and heart , this quirky soccer import is forgettabl",5,0
pos,funny and also heartwarming without stooping to gooeyness .,2,2
neg,it treats women like idiots .,1,1
neg,the pacing is often way off and there are too many bona fide groaners among too few laughs .,1,2
pos,"triple x is a double agent , and he's one bad dude . when you've got the wildly popular vin diesel in the equation , it adds up to big box office bucks all but guaranteed .",7,4
neg,"a gimmick in search of a movie : how to get carvey into as many silly costumes and deliver as many silly voices as possible , plot mechanics be damned .",4,5
neg,every note rings false .,0,1
neg,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .,4,5
neg,"the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing .",2,8
neg,chokes on its own depiction of upper-crust decorum .,2,1
neg,chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama .,4,3
pos,"the picture runs a mere 84 minutes , but it's no glance . it's a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing .",5,0
neg,"taken individually or collectively , the stories never add up to as much as they promise .",3,0
neg,"outside of burger's desire to make some kind of film , it's really unclear why this project was undertake",4,1
neg,gibney and jarecki just want to string the bastard up .,2,1
neg, . . . too gory to be a comedy and too silly to be an effective horror film .,2,3
neg,"what you get with empire is a movie you've seen many times before , repackaged as new material because there is a latino in the lead .",4,2
pos,"lookin' for sin , american-style ? try hell house , which documents the cautionary christian spook-a-rama of the same name .",4,2
neg,this goofy gangster yarn never really elevates itself from being yet another earnestly generic crime-busting comic vehicle -- a well-intentioned remake that shows some spunk and promise but fails to register as anything distinctive or darin,11,4
neg,an overstuffed compendium of teen-catholic-movie dogma .,1,1
pos,"for its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",7,0
pos,"although the editing might have been tighter , hush ! sympathetically captures the often futile lifestyle of young people in modern japan .",7,3
pos,familiar but utterly delightful .,2,0
pos,a compelling motion picture that illustrates an american tragedy .,2,2
neg,a ponderous meditation on love that feels significantly longer than its relatively scant 97 minutes .,4,4
neg,you could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time .,1,3
pos,spiderman rock,1,1
pos,vividly conveys the shadow side of the 30-year friendship between two english women .,1,1
pos,this movie got me grinning . there's a part of us that cannot help be entertained by the sight of someone getting away with something .,6,1
pos,"the performances are amiable and committed , and the comedy more often than not hits the bullseye .",4,1
neg,"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes .",2,1
neg,"lacking substance and soul , crossroads comes up shorter than britney's cutoffs .",3,2
neg,"it's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it's just grating .",3,4
pos,a film of ideas and wry comic mayhem .,1,2
neg,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",5,1
